State,Season,Crop,Temperature,Rainfall,Area,Yield
3,1,1,18.5786666666667,1565,19355,22345
3,1,1,18.1095,1639,23857,18436
3,1,1,18.7796666666667,1896.4,24000,22900
3,1,1,18.9201666666667,1736.45,24343,21275
3,1,1,18.9746666666667,2112.2,24951,21935
3,1,1,18.5616666666667,2256.45,25106,22309
3,1,1,19.3478333333333,2147.56,25136,22455.33
3,1,1,18.8591666666667,2245.54,25148,22569
3,1,1,19.7583782378727,2164.4,25547,24596
3,1,1,18.358728378237,2176.4,25528,24632
3,1,1,18.7833728137133,2349.45,25561,24801
3,1,1,19.787338738378,2665.85,24811,25220
4,1,1,25.3946666666667,1961.23,83560,43512
4,1,1,25.3946666666667,1696.64,8850,12831
4,1,1,25.3946666666667,1456.56,103015,76589
4,1,1,26.2861666666667,2258.56,83355,46436
4,1,1,26.2861666666667,2368.56,16435,32739
4,1,1,26.2861666666667,1935.56,88835,93412
4,1,1,25.7741666666667,1835.4,83830,59762
4,1,1,25.7741666666667,2268.56,18637,57626
4,1,1,25.7741666666667,2248.59,104375,121735
4,1,1,25.6291666666667,2156.46,73675,60705
4,1,1,25.6291666666667,2600,25005,58014
4,1,1,25.6291666666667,2496.46,97175,120609
4,1,1,25.8565,2458.69,56482,40845
4,1,1,25.8565,2439.5,18510,39355
4,1,1,25.8565,2359.4,97500,119034
4,1,1,25.536,1935.54,63725,38265
4,1,1,25.536,2163.54,16000,35031
4,1,1,25.536,2636.15,99500,111714
4,1,1,25.8378333333333,1639.56,58500,41992
4,1,1,25.8378333333333,2365.45,17400,37888
4,1,1,25.8378333333333,2496.15,99750,128640
4,1,1,25.4776666666667,1832.3,60760,7597
4,1,1,25.4776666666667,2809,19645,33526
4,1,1,25.4776666666667,2563.45,62225,74492
4,1,1,25.9281666666667,1689.256,51500,39916
4,1,1,25.9281666666667,2442.6,13897,20379
4,1,1,25.9281666666667,2416.56,52755,75339
4,1,1,26.1511666666667,1456.56,46504,29973
4,1,1,26.1511666666667,1666.546,15213,32963
4,1,1,26.1511666666667,1696.84,50173,51355
4,1,1,26.1513333333333,1935.45,33564,18202
4,1,1,26.1513333333333,2330.76,16829,37462
4,1,1,26.1513333333333,2236.56,53821,63911
4,1,1,25.9756666666667,2156.26,48880,43134
4,1,1,25.9756666666667,23342.6,42937,85624
4,1,1,25.9756666666667,2465.65,72524,92763
4,1,1,26.48,2156.65,50063,40476
