State,District,Year,Season,Crop,Rainfall,Area,Yield
Andhra Pradesh,SRIKAKULAM,1998,Kharif     ,Rice,1060,194400,370700
Andhra Pradesh,SRIKAKULAM,1998,Rabi       ,Rice,242.89,2000,7500
Andhra Pradesh,SRIKAKULAM,1999,Kharif     ,Rice,772.86,189027,323525
Andhra Pradesh,SRIKAKULAM,1999,Rabi       ,Rice,19.69,1703,5867
Andhra Pradesh,SRIKAKULAM,2000,Kharif     ,Rice,788.86,207461,399155
Andhra Pradesh,SRIKAKULAM,2000,Rabi       ,Rice,54.59,1100,2012
Andhra Pradesh,SRIKAKULAM,2001,Kharif     ,Rice,813.6,178771,393654
Andhra Pradesh,SRIKAKULAM,2001,Rabi       ,Rice,126.591,1584,3594
Andhra Pradesh,SRIKAKULAM,2002,Kharif     ,Rice,584,153148,267550
Andhra Pradesh,SRIKAKULAM,2002,Rabi       ,Rice,160.52,632,1602
Andhra Pradesh,SRIKAKULAM,2003,Kharif     ,Rice,795.65,188219,421799
Andhra Pradesh,SRIKAKULAM,2003,Rabi       ,Rice,152.36,2204,4496
Andhra Pradesh,SRIKAKULAM,2004,Kharif     ,Rice,936.3,190795,448561
Andhra Pradesh,SRIKAKULAM,2004,Rabi       ,Rice,106.5,2198,5743
Andhra Pradesh,SRIKAKULAM,2005,Kharif     ,Rice,1021.3,153521,271425
Andhra Pradesh,SRIKAKULAM,2005,Rabi       ,Rice,134.2,4237,10105
Andhra Pradesh,SRIKAKULAM,2006,Kharif     ,Rice,1260,193994,491775
Andhra Pradesh,SRIKAKULAM,2006,Rabi       ,Rice,98.6,3425,7223
Andhra Pradesh,SRIKAKULAM,2007,Kharif     ,Rice,1196.8,201000,613000
Andhra Pradesh,SRIKAKULAM,2007,Rabi       ,Rice,162.8,2000,6000
Andhra Pradesh,SRIKAKULAM,2008,Kharif     ,Rice,851.1,203172,408376
Andhra Pradesh,SRIKAKULAM,2008,Rabi       ,Rice,196.2,2667,6190
Andhra Pradesh,SRIKAKULAM,2009,Kharif     ,Rice,956.36,177058,371822
Andhra Pradesh,SRIKAKULAM,2009,Rabi       ,Rice,156.65,2708,6407
Andhra Pradesh,SRIKAKULAM,2010,Kharif     ,Rice,897.64,205853,167482
Andhra Pradesh,SRIKAKULAM,2010,Rabi       ,Rice,152.5,7098,16822
Andhra Pradesh,SRIKAKULAM,2011,Kharif     ,Rice,1023.5,208239,399240
Andhra Pradesh,SRIKAKULAM,2011,Rabi       ,Rice,196.65,2178,4593
Andhra Pradesh,SRIKAKULAM,2012,Kharif     ,Rice,986.56,205859,520823
Andhra Pradesh,SRIKAKULAM,2012,Rabi       ,Rice,165.2,2884,7870
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif     ,Rice,825.89,95600,79700
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi       ,Rice,280.71,2700,8700
Andhra Pradesh,VISAKHAPATANAM,1998,Kharif     ,Rice,1124.41,114900,141300
Andhra Pradesh,VISAKHAPATANAM,1998,Rabi       ,Rice,269.78,3800,14100
Andhra Pradesh,VISAKHAPATANAM,1999,Kharif     ,Rice,868.91,103372,134010
Andhra Pradesh,VISAKHAPATANAM,1999,Rabi       ,Rice,164.544,3053,10836
Andhra Pradesh,VISAKHAPATANAM,2000,Kharif     ,Rice,1109.4,115239,183345
Andhra Pradesh,VISAKHAPATANAM,2000,Rabi       ,Rice,158.245,2969,6683
Andhra Pradesh,VISAKHAPATANAM,2001,Kharif     ,Rice,910.73,86579,145020
Andhra Pradesh,VISAKHAPATANAM,2001,Rabi       ,Rice,168.23,3744,7589
Andhra Pradesh,VISAKHAPATANAM,2002,Kharif     ,Rice,701.98,61964,61344
